Publisher ID,Publisher Names,Publisher Email,office Address,zipcode
1,Oxford University Press,OxfordUniversityPress@gmail.com,530 Mandrake Terrace,76856
2,HarperFlamingo Canada,HarperFlamingoCanada@gmail.com,70697 Clyde Gallagher Plaza,47460
3,HarperPerennial,HarperPerennial@gmail.com,0 Annamark Circle,12168
4,Farrar Straus Giroux,FarrarStrausGiroux@gmail.com,690 Trailsway Crossing,55905
5,W. W. Norton & Company,NortonCompany@gmail.com,9 Drewry Street,36262
6,Putnam Pub Group,PutnamPubGroup@gmail.com,8868 Graceland Circle,06825
7,Berkley Publishing Group,BerkleyPublishingGroup@gmail.com,596 Union Court,30817
8,Audioworks,Audioworks@gmail.com,50284 Badeau Court,59933
9,Random House,RandomHouse@gmail.com,741 Redwing Park,81148
10,Scribner,Scribner@gmail.com,769 Spohn Hill,30310
11,Emblem Editions,EmblemEditions@gmail.com,25 Declaration Lane,28399
12,Citadel Press,CitadelPress@gmail.com,62844 Main Street,85626
13,House of Anansi Press,HouseAnansiPress@gmail.com,87837 Lyons Point,84150
14,Health Communications,HealthCommunications@gmail.com,92970 Twin Pines Drive,33633
15,Brilliance Audio - Trade,BrillianceAudioTrade@gmail.com,2720 Bellgrove Court,74965
16,Kensington Publishing Corp.,KensingtonPublishing@gmail.com,6059 Myrtle Parkway,50313
17,Dell,Dell@gmail.com,2283 Marquette Trail,85331
18,Plume,Plume@gmail.com,43 Dwight Alley,55110
19,Three Rivers Press,ThreeRiversPress@gmail.com,11 Lien Street,27948
20,Ryland Peters & Small Ltd,RylandPetersSmallLtd@gmail.com,64676 Dovetail Pass,58009
21,Scholastic,Scholastic@gmail.com,8 Marquette Avenue,50164
22,Aladdin,Aladdin@gmail.com,9526 Barby Avenue,60451
23,Too Far,TooFar@gmail.com,98 Bay Plaza,56016
24,Ballantine Books,BallantineBooks@gmail.com,123 Meadow Ridge Pass,54432
25,Random House Trade Paperbacks,RandomHouseTradePaperbacks@gmail.com,230 Leroy Plaza,24121
26,Lübbe,Lübbe@gmail.com,4710 Dryden Court,37997
27,Goldmann,Goldmann@gmail.com,618 Emmet Way,83446
28,Alfred A. Knopf,AlfredKnopf@gmail.com,0645 Debra Place,64724
29,Little Brown & Company,LittleBrownCompany@gmail.com,023 Lakewood Gardens Trail,37242
30,Harpercollins,Harpercollins@gmail.com,003 Veith Road,70452
31,Avon,Avon@gmail.com,19 Gerald Parkway,70447
32,Bantam,Bantam@gmail.com,6 Shasta Road,02802
33,HarperTorch,HarperTorch@gmail.com,5 Evergreen Pass,95501
34,Bantam Books,BantamBooks@gmail.com,76 Basil Drive,30298
35,Pocket,Pocket@gmail.com,20501 Mesta Alley,53583
36,Tor Books,TorBooks@gmail.com,51949 Jenifer Parkway,79312
37,Tyndale House Publishers,TyndaleHousePublishers@gmail.com,996 Carioca Crossing,48420
38,HarperCollins Publishers,HarperCollinsPublishers@gmail.com,482 3rd Trail,40807
39,Harvest Books,HarvestBooks@gmail.com,13 Arrowood Terrace,17326
40,Avon Books,AvonBooks@gmail.com,95878 Scott Trail,49620
41,Laurel Leaf,LaurelLeaf@gmail.com,4 Declaration Parkway,07632
42,Prentice Hall (K-12),PrenticeHall@gmail.com,1 Spohn Road,14707
43,NTC/Contemporary Publishing Company,PublishingCompany@gmail.com,1 Mendota Road,36702
44,St. Martin's Press,Press@gmail.com,9123 Bellgrove Crossing,67844
45,Avon Trade,AvonTrade@gmail.com,93452 Loomis Terrace,40140
46,Penguin Books,PenguinBooks@gmail.com,3 Sauthoff Drive,12585
47,Signet Book,SignetBook@gmail.com,1 Starling Pass,27581
48,Thomas Nelson,ThomasNelson@gmail.com,189 Northfield Lane,04344
49,Ace Books,AceBooks@gmail.com,3 Londonderry Hill,26208
50,Landoll,Landoll@gmail.com,009 Valley Edge Plaza,76129
51,Atlantic Monthly Press,AtlanticMonthlyPress@gmail.com,1 Gina Lane,94998
52,Hodder & Stoughton General Division,HodderStoughtonGeneralDivision@gmail.com,39606 Arapahoe Park,81136
53,Simon & Schuster (Trade Division),SimonSchuster@gmail.com,67 Gerald Lane,63120
54,Perennial,Perennial@gmail.com,647 Hauk Hill,92193
55,Bantam Doubleday Dell,BantamDoubledayDell@gmail.com,8091 Hoard Junction,46634
56,"Little, Brown",Brown@gmail.com,2663 Kenwood Drive,60419
57,Minotauro,Minotauro@gmail.com,1 Center Plaza,03303
58,Distribooks,Distribooks@gmail.com,1 Anhalt Way,33111
59,Back Bay Books,BackBayBooks@gmail.com,60 Johnson Drive,64139
60,Doubleday Books,DoubledayBooks@gmail.com,93 Dawn Plaza,36741
61,Warner Books,WarnerBooks@gmail.com,492 Shasta Center,62052
62,Fireside,Fireside@gmail.com,692 Stephen Park,60153
63,Vintage,Vintage@gmail.com,9 Anthes Circle,20056
64,Hyperion,Hyperion@gmail.com,1600 Spaight Road,79247
65,Tusquets,Tusquets@gmail.com,027 Pleasure Pass,44288
66,Star Trek,StarTrek@gmail.com,798 Morningstar Hill,85352
67,Pocket Star,PocketStar@gmail.com,1 High Crossing Hill,06491
68,Harper Mass Market Paperbacks (Mm),HarperMassMarketPaperbacks@gmail.com,68707 Jackson Junction,98252
69,Warner Books (Mm),WarnerBooks@gmail.com,25415 Red Cloud Park,13862
70,Onyx Books,OnyxBooks@gmail.com,2694 Dovetail Pass,99553
71,Free Press,FreePress@gmail.com,16 Drewry Plaza,32766
72,Thomas Nelson Inc,ThomasNelsonInc@gmail.com,2601 Dunning Point,36525
73,Edicoes Asa,EdicoesAsa@gmail.com,54608 Maryland Trail,17844
74,Pan Macmillan,PanMacmillan@gmail.com,91837 Vera Point,72427
75,Anchor,Anchor@gmail.com,6542 Crest Line Trail,99650
76,W.W. Norton & Company,NortonCompany@gmail.com,1315 Hanover Point,80805
77,Arcadia Books,ArcadiaBooks@gmail.com,69223 Bobwhite Junction,55340
